step	time	T	T-cg	T-at	Ekin	res	angle_12	angle_12_cross	angle_160	angle_160_cross	angle_166	bond_124_cross	bond_125_cross	bond_71	bond_82	bond_82_cross	coulomb	dihedral_51	dihedral_51_cross	dihedral_83	dihedral_83_cross	lj	lj-14_0	lj-14_0_cross	lj-14_1	lj-14_1_cross	lj-14_2	lj-14_3	lj-14_4	lj-14_4_cross	tab-cg
11600	11.6	3.55333	3.35837	3.55979	8314.79	0.06599	514.856	19.501	2768.56	68.9404	930.275	29.2785	97.0092	1943.33	827.664	208.815	2.27567	554.969	1.37076	832.025	1.55019	37.2935	57.9006	16.9914	507.767	7.43608	0.102248	7.39266	146.254	0.0883368	3.53645
11700	11.7	3.51045	3.35837	3.51548	8214.45	0.06699	534.768	16.9019	2776.89	64.684	922.208	27.026	98.7238	1992.01	760.54	176.93	2.30403	552.818	1.45796	857.06	1.55182	29.5087	62.1309	20.6793	439.014	4.07968	0.885201	6.54186	118.881	0.167515	3.40342
11800	11.8	3.51445	3.35837	3.51961	8223.81	0.06799	592.652	20.4395	2751.63	72.2446	835.181	26.21	99.5066	1937.21	764.925	188.736	2.45029	534.673	1.49386	841.021	1.51248	43.7728	60.7814	30.1586	519.545	5.42461	1.36951	5.82576	92.6589	0.131987	3.15622
11900	11.9	3.53509	3.35837	3.54094	8272.1	0.06899	480.882	19.0808	2614.27	67.5595	822.486	25.9602	99.6268	1792.2	908.732	219.661	2.50677	533.184	1.57544	823.602	1.59317	35.8593	52.1151	12.042	458.782	8.19936	0.811669	7.38762	95.6478	0.301116	3.53566
12000	12	3.4193	3.35837	3.42132	8001.17	0.06999	560.364	22.8111	2793.3	78.9959	841.763	25.509	102.89	2002.81	821.624	217.932	2.57807	541.137	1.55733	860.224	1.65959	50.1474	47.965	35.2668	471.144	16.6495	2.0192	10.0939	115.921	0.695911	3.53973
12100	12.1	3.367	3.35837	3.36728	7878.77	0.07099	512.097	25.9462	2808.4	75.5181	885	26.7594	102.734	1839.28	935.539	211.86	2.62716	529.847	1.72354	821.715	1.70109	33.4531	52.4621	12.6284	446.404	7.0795	0.532187	7.2442	98.4758	0.0813298	3.51206
12200	12.2	3.51421	3.35837	3.51937	8223.25	0.07199	501.622	21.4524	2690.49	78.9115	897.129	27.0002	99.1022	1991.8	807.352	246.017	2.69053	535.185	1.8188	833.774	1.77246	35.8563	50.6347	15.4476	479.301	6.42125	3.27137	5.84358	104.253	0.0140048	3.74646
12300	12.3	3.49054	3.35837	3.49492	8167.87	0.07299	555.272	20.9961	2682.42	91.5427	856.848	27.1436	96.2081	1999.51	897.955	289.285	2.78434	536.32	1.83882	855.777	1.79794	32.9889	55.6299	21.5101	437.856	7.60602	1.25236	10.0094	93.3974	0.112389	3.57602
12400	12.4	3.49057	3.35837	3.49495	8167.93	0.07399	503.066	26.2977	2585.08	78.2325	875.147	27.3131	95.8575	1987.89	783.285	249.316	2.91645	527.958	1.79003	787.751	1.76656	48.5502	46.2262	17.3485	498.247	10.2617	5.04107	9.01702	124.437	0.220843	3.50793
12500	12.5	3.47877	3.35837	3.48276	8140.33	0.07499	489.681	27.8108	2492.31	81.4665	898.062	26.8308	97.0522	1989.43	805.929	204.999	3.00536	526.64	1.89895	811.309	1.95752	41.7206	44.532	27.2094	464.567	10.1429	0.12155	6.51351	111.085	0.124059	3.40875
12600	12.6	3.45961	3.35837	3.46297	8095.5	0.07599	414.492	24.172	2689.17	83.3101	884.36	26.4266	99.3358	2008.15	797.391	208.27	3.12132	524.966	1.96796	845.327	1.98249	59.601	44.2778	21.0255	475.11	14.5131	0.54663	4.23386	107.223	0.0414342	3.71394
