step	time	T	Ekin	lj	bond_123	angle_250	dihedral_190	lj-14_0	lj-14_1
132000	132	3.53567	39776.3	-37229.7	14557.7	17720.9	76912.5	430.298	17947.1
133000	133	3.52447	39650.3	-37246.2	14222.5	16948.4	77351.7	429.022	17804.4
134000	134	3.51359	39527.8	-37130.1	13992.6	17236.4	76970.8	459.701	18063.1
135000	135	3.59854	40483.5	-37199.1	14014.2	17166.4	77159.9	369.541	18056.7
136000	136	3.58721	40356.1	-37147.3	14200.2	17798.6	77090.6	395.993	17443.9
137000	137	3.49272	39293.2	-37309.8	14393.1	17242.3	77331.5	405.856	17750.9
138000	138	3.51061	39494.3	-37324.5	13727.9	17502.6	77182.6	291.365	17815.2
139000	139	3.56664	40124.7	-37105.9	14194.1	17727	77152.8	390.85	18023.2
140000	140	3.53243	39739.9	-37295.7	14110.8	17281.6	77122	416.324	17642.3
141000	141	3.46615	38994.2	-37240.4	13876.7	17351.1	77684.2	410.618	17673.5
142000	142	3.52039	39604.4	-37273.9	13802.7	17613	77171	393.008	17987.8
143000	143	3.42585	38540.8	-37302.6	14092.4	17647.8	77136.2	329.396	17778.2
144000	144	3.51719	39568.4	-37304	14329.7	17653	77160.2	445.356	17701
145000	145	3.5672	40131	-37371.7	14488.6	17772.3	77467.8	392.905	17348.8
146000	146	3.46869	39022.8	-36999.7	14426.9	17217	76922.1	442.64	17790.2
147000	147	3.47275	39068.4	-37359.6	14022	17279.7	77474.3	440.869	18022.7
148000	148	3.50644	39447.4	-37197.5	14258	16913.4	77326.2	444.869	17830.8
149000	149	3.57601	40230.1	-37344.8	14305	17656.5	76897.7	386.212	17840.6
150000	150	3.50619	39444.6	-36882.2	13933.1	17743.9	76540.9	388.669	17717.5
151000	151	3.49298	39296	-37133.7	13890.6	17640.9	76774.1	457.255	18148.1
152000	152	3.55709	40017.3	-37171.1	14686.3	17090	76961.3	433.834	17790.8
153000	153	3.5112	39501	-37189.1	14395.5	17130.8	76857.5	402.741	17790.1
154000	154	3.53987	39823.5	-37228.5	13808.9	17892.9	76491.7	392.378	18105.4
155000	155	3.49451	39313.2	-37502.5	14146.3	17464	76987.8	397.556	17841.1
156000	156	3.53021	39714.9	-37340.9	13974.1	17433.5	77414.7	456.105	17911.6
157000	157	3.54521	39883.6	-37077.3	14320.4	17508	77409.8	388.007	17526
158000	158	3.56789	40138.7	-37090.2	14274.5	17424.3	76804.5	467.211	17883
159000	159	3.53583	39778.1	-37450.9	13830.9	17423.7	76674.5	377.225	17875.5
160000	160	3.54154	39842.3	-37333.9	14185.8	17584.1	76420.2	474.251	17847.5
161000	161	3.47936	39142.8	-37277.4	14299.9	17667.9	76465.4	465.978	17669.4
162000	162	3.51792	39576.6	-37120.4	14154.3	17862.7	76818.3	494.204	17969.1
163000	163	3.50295	39408.1	-37307.2	14085.2	16895.8	77103.8	436.532	18028.5
164000	164	3.55291	39970.2	-37292.4	14202.3	17673.5	77538.6	419.369	17574
165000	165	3.52485	39654.5	-37519.7	13938.3	17406.4	77238	392.652	17646.2
166000	166	3.5014	39390.8	-37073.2	14422.4	17089.5	77533.8	453.541	17706.4
167000	167	3.49464	39314.7	-37122.8	14014.2	17416.5	77102.5	422.082	17611.8
168000	168	3.58477	40328.6	-37100.5	14527.4	17391.2	77400.3	376.037	17618.2
169000	169	3.53427	39760.5	-37281.8	13923	17582.9	77223.7	453.824	17582.1
170000	170	3.55326	39974.2	-37373.7	13831.1	17386.8	77810.1	364.619	17529.5
171000	171	3.56602	40117.7	-37397.2	13666.6	17427.2	78187.5	368.847	17359
172000	172	3.51755	39572.4	-37254.7	14186.9	17765.1	77597.2	415.946	17444.8
173000	173	3.50878	39473.8	-37228.6	14384.4	16848.7	77997.9	444.302	17439.5
174000	174	3.5749	40217.7	-37259.1	14125.2	17476	77620.3	433.028	17630.4
