step	time	T	Ekin	lj	bond_2	angle_4	dihedral_0	lj-14_0	lj-14_1
222000	222	2.4946	22451.4	-30566	7113.62	6383.07	7030.23	-816.154	-2213.26
223000	223	2.52418	22717.6	-30670.9	6796.42	6569.45	7086.85	-831.224	-2209.34
224000	224	2.42651	21838.6	-30768.2	7027.41	6296.92	7083.92	-857.877	-2140.33
225000	225	2.49202	22428.1	-30715	6981.36	6459.55	6972.41	-783.975	-2283.18
226000	226	2.44103	21969.3	-30572.4	6782.51	6482.7	7128.04	-853.311	-2159.89
227000	227	2.47901	22311.1	-30529.1	6760.36	6236.71	7339.53	-831.969	-2180.61
228000	228	2.49712	22474	-30542.6	6647.31	6299.55	7270.52	-847.477	-2098.63
229000	229	2.47723	22295.1	-30691.9	7072.95	6265.29	7127.8	-802.23	-2239.19
230000	230	2.47464	22271.7	-30716.8	6946.68	6344.34	7087.27	-794.207	-2211.84
231000	231	2.49845	22486	-30507.5	6718.27	6384.96	7070.93	-843.875	-2107.38
232000	232	2.54165	22874.8	-30776.4	6934.79	6439.23	7085.02	-764.414	-2165.28
233000	233	2.49694	22472.5	-30614.5	6752.49	6268.86	6926.95	-757.02	-2210.34
234000	234	2.51309	22617.9	-30573.7	6900.93	6322.71	7266.8	-786.661	-2144.07
235000	235	2.50506	22545.5	-30574.6	7007.52	6432.45	6958.06	-762.425	-2180.78
236000	236	2.45305	22077.4	-30665.6	6879.48	6535.91	7340.82	-804.273	-2202.56
237000	237	2.47037	22233.3	-30502.8	6801	6354.65	7078.64	-787.878	-2164.86
238000	238	2.49353	22441.8	-30575.1	7153.83	6523.15	7153.46	-754.219	-2158.49
239000	239	2.51227	22610.4	-30620.5	6926.82	6414.18	7038.82	-813.157	-2217.74
240000	240	2.43283	21895.5	-30554.9	6944.13	6429.13	7054.93	-740.314	-2140.5
241000	241	2.48653	22378.7	-30835.6	6938.84	6461.31	7381.33	-759.207	-2245.32
242000	242	2.4467	22020.3	-30676.1	6865.06	6388.55	6856.99	-740.26	-2211.55
243000	243	2.50683	22561.5	-30564.9	6773.27	6507.91	7063.89	-781.329	-2216.94
244000	244	2.4487	22038.3	-30654.2	6764	6356.56	7150.64	-843.879	-2174.79
245000	245	2.51197	22607.7	-30529.6	6746.86	6538.22	7157.64	-837.952	-2134.55
246000	246	2.46695	22202.5	-30616.7	6696.01	6469.53	6875.24	-800.53	-2196.12
247000	247	2.48236	22341.3	-30648.2	6967.84	6458.62	7274.41	-853.71	-2217.88
248000	248	2.47751	22297.6	-30644.7	7048.14	6500.05	7329.06	-794.277	-2137.32
249000	249	2.46131	22151.8	-30607.3	6931.79	6239.97	7090.33	-785.157	-2125.96
250000	250	2.53136	22782.2	-30603.3	6881.82	6306.93	7210.08	-808.838	-2160.06
251000	251	2.4952	22456.8	-30749.5	6871.89	6362.85	7102.55	-891.56	-2071.91
252000	252	2.44324	21989.1	-30681.7	6792.91	6630.56	7101.9	-801.855	-2160.81
253000	253	2.5179	22661.1	-30809.3	6744.96	6549.13	7271.01	-827.228	-2230.5
254000	254	2.46559	22190.3	-30919.7	6849.4	6335.78	7180.56	-805.05	-2173.99
255000	255	2.44603	22014.3	-30639.3	6516.12	6498.16	7274.4	-910.859	-2125.73
256000	256	2.4442	21997.8	-30798.9	6928.91	6168.38	6840.19	-837.355	-2191.93
257000	257	2.46542	22188.8	-30682.4	7060.48	6485.41	7016.73	-858.041	-2113.25
258000	258	2.47181	22246.3	-30820.3	7020.48	6494.98	7088.98	-842.827	-2192.98
259000	259	2.45384	22084.5	-30763	6763	6260.43	7095.92	-879.028	-2242.44
260000	260	2.51	22590	-30780.9	6908.94	6273.61	6946.13	-832.782	-2208.64
261000	261	2.44988	22048.9	-30760.8	6729.61	6369.4	6936.6	-890.85	-2158.33
262000	262	2.48331	22349.8	-30579	6721.02	6334.42	6985.61	-884.26	-2194.56
263000	263	2.46326	22169.4	-30683.5	6892.21	6204.01	6990.3	-838.98	-2184.67
264000	264	2.47834	22305	-30644.3	6853.82	6331.68	7049.42	-891.492	-2211.48
265000	265	2.47019	22231.7	-30747.6	7024.16	6450.86	6971	-842.239	-2090.31
266000	266	2.47879	22309.1	-30668.8	6924.32	6220.18	7073.21	-805.831	-2188.47
267000	267	2.49904	22491.4	-30861.4	6874.58	6287.99	7158.4	-845.818	-2314.13
268000	268	2.48178	22336	-30792.7	6869.06	6700.23	7152.54	-867.704	-2185.79
269000	269	2.50862	22577.6	-30743.9	6894.4	6282.47	6906.52	-841.883	-2240.73
270000	270	2.45295	22076.5	-30625.7	6936.4	6450.09	7235.68	-822.04	-2212.49
271000	271	2.48055	22324.9	-30747.3	6652.85	6437.5	6891.34	-779.735	-2227.21
272000	272	2.49445	22450.1	-30792.6	6980.29	6233.21	7207.17	-870.127	-2203.55
273000	273	2.47822	22304	-30829	6931.61	6366	7061.67	-766.224	-2167.38
274000	274	2.47818	22303.6	-30634.1	6872.06	6675.75	7129.38	-842.556	-2205.35
275000	275	2.47375	22263.7	-30751.4	6907.44	6381.05	7024.61	-803.652	-2134.08
276000	276	2.47144	22242.9	-30824.9	6800.95	6318.87	6773.65	-836.075	-2184.96
277000	277	2.41617	21745.5	-30708.7	6799.8	6459.95	6882.66	-816.033	-2318.43
278000	278	2.49306	22437.5	-30736.1	6940.29	6243.64	7316.71	-825.959	-2268.44
279000	279	2.52457	22721.1	-30630	6892.54	6270.87	7146.91	-862.88	-2217.28
280000	280	2.46592	22193.3	-30709.2	6892.18	6422.96	7031.81	-857.323	-2219.71
281000	281	2.47435	22269.1	-30702.9	6966.79	6358.2	7049.99	-828.248	-2280.87
282000	282	2.47549	22279.4	-30633.9	6998.04	6379.06	7064.01	-791.267	-2262.31
283000	283	2.47667	22290	-30793.2	7141.17	6415.5	7171.59	-842.914	-2240.74
284000	284	2.48605	22374.5	-30736.9	7180.77	6251.41	7213.54	-811.141	-2268.97
285000	285	2.46083	22147.5	-30538.4	6804.65	6264.02	7050.22	-789.452	-2253.06
286000	286	2.45329	22079.6	-30645.8	6777.21	6838.33	7154	-779.962	-2199.54
287000	287	2.49185	22426.6	-30623.3	6973.19	6456.95	7288.39	-775.549	-2238.93
288000	288	2.47647	22288.2	-30598.9	6792.17	6633.08	7119.03	-857.433	-2179.94
289000	289	2.46363	22172.6	-30623.3	6758.43	6438.02	7142.05	-757.745	-2169.28
290000	290	2.44445	22000.1	-30685.2	6889.8	6444.74	7093.43	-859.861	-2202.72
291000	291	2.48846	22396.1	-30906.6	6920.04	6605.23	7104.06	-796.314	-2262.75
292000	292	2.46111	22150	-30613.5	7020.18	6476	7166.68	-728.799	-2251.28
293000	293	2.45659	22109.3	-30710.2	6725.2	6309.26	6874.58	-788.589	-2127.06
294000	294	2.49121	22420.9	-30913.1	6616.81	6299.81	6672.67	-844.148	-2168.5
295000	295	2.45373	22083.6	-30748.4	6911.19	6320.04	6970.49	-803.168	-2088.69
