step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
16100	16.1	2.5112	33901.2	0	-629.88	3669.42	4619.72	0	0	4996.28	5041.91	1465.24	0	0	0
16200	16.2	2.54073	34299.8	0	-572.094	3524.64	4482.45	0	0	5066.46	5029.35	1472.58	0	0	0
16300	16.3	2.47729	33443.4	0	-644.685	3611.95	4486.29	0	0	5060.95	4991.5	1462.99	0	0	0
16400	16.4	2.54387	34342.3	0	-627.2	3625.54	4393.2	0	0	5017.9	5013.98	1467.32	0	0	0
16500	16.5	2.48539	33552.8	0	-730.305	3662.69	4399.04	0	0	5041.39	5103.96	1475.87	0	0	0
16600	16.6	2.47753	33446.7	0	-787.408	3760.62	4476.72	0	0	5062.23	5135.27	1476.46	0	0	0
16700	16.7	2.46586	33289	0	-654.544	3784.86	4388.92	0	0	5053.92	5050.15	1458.26	0	0	0
16800	16.8	2.45037	33080.1	0	-685.074	3665.74	4345.9	0	0	4979.81	5127.84	1453.25	0	0	0
16900	16.9	2.49065	33623.8	0	-729.085	3768.72	4488.08	0	0	4918.09	5114.44	1457.27	0	0	0
17000	17	2.44325	32983.8	0	-773.468	3842.6	4584.77	0	0	4844.67	5179.94	1471.92	0	0	0
17100	17.1	2.5064	33836.4	0	-708.942	3950.65	4558.47	0	0	4969.04	5150.18	1485.72	0	0	0
17200	17.2	2.48783	33585.6	0	-562.134	3817.29	4568.19	0	0	4856.91	5101.57	1479.02	0	0	0
17300	17.3	2.47446	33405.2	0	-539.81	3841.92	4656.13	0	0	4795.4	5135.6	1471.69	0	0	0
17400	17.4	2.51357	33933.2	0	-391.78	3806.7	4559.85	0	0	4860.49	5076.82	1478.16	0	0	0
17500	17.5	2.48668	33570.2	0	-471.081	3806.82	4613.22	0	0	4900.03	5111.5	1427.73	0	0	0
17600	17.6	2.52236	34051.9	0	-510.431	3732.36	4544.64	0	0	4951.6	5150.01	1452.57	0	0	0
17700	17.7	2.48693	33573.6	0	-593.434	3627.36	4600.32	0	0	4895.61	5154.81	1453.82	0	0	0
17800	17.8	2.48269	33516.3	0	-716.988	3620.65	4625.02	0	0	4923.08	5092.69	1443.82	0	0	0
17900	17.9	2.48346	33526.7	0	-713.953	3570.38	4448.59	0	0	4934.99	5111.67	1445.38	0	0	0
18000	18	2.48214	33508.9	0	-661.079	3845.08	4550.95	0	0	4887.69	5124.58	1458.11	0	0	0
18100	18.1	2.47484	33410.3	0	-771.152	3776.45	4543.5	0	0	4957.05	4970.21	1446.31	0	0	0
18200	18.2	2.46323	33253.6	0	-751.532	3838.01	4455.04	0	0	5031.06	5133.02	1444.81	0	0	0
18300	18.3	2.48791	33586.8	0	-557.193	3917.98	4600.04	0	0	4970.12	5008.64	1465.58	0	0	0
18400	18.4	2.51486	33950.7	0	-789.958	3940.88	4502.55	0	0	4926.35	5079.83	1478.85	0	0	0
18500	18.5	2.50346	33796.7	0	-888.283	3765.5	4506.08	0	0	4856.71	5023.6	1456.81	0	0	0
18600	18.6	2.52198	34046.7	0	-736.172	3801.5	4555.81	0	0	4943.46	4909.17	1469.31	0	0	0
18700	18.7	2.49943	33742.3	0	-820.542	3790.9	4499.31	0	0	4911.4	4876.33	1485.89	0	0	0
18800	18.8	2.53693	34248.6	0	-653.289	3709.01	4437.18	0	0	4878.06	4984.76	1438.36	0	0	0
18900	18.9	2.48736	33579.3	0	-515.994	3679.77	4469.66	0	0	4968.4	4976.83	1457	0	0	0
19000	19	2.52125	34036.8	0	-584.454	3782.26	4481.08	0	0	5015.81	4970.97	1443.07	0	0	0
19100	19.1	2.52813	34129.8	0	-653.294	3816.45	4464.79	0	0	5047.98	5035.73	1439.14	0	0	0
