step	time	T	Ekin	lj	bond_2	angle_4	dihedral_0	lj-14_0	lj-14_1
242000	242	2.46727	22205.4	-30766.9	6959.27	6136.07	7458.09	-810.915	-2185.32
243000	243	2.47173	22245.6	-30462.4	6789.39	6416.3	7155.83	-803.161	-2158.95
244000	244	2.51104	22599.4	-30567.7	6957.05	6450.23	7517.98	-788.521	-2259.59
245000	245	2.45858	22127.2	-30790.7	7053.81	6601.36	7186.32	-813.791	-2240.79
246000	246	2.44936	22044.2	-30698.2	6860.06	6341.37	6948.87	-809.075	-2081.53
247000	247	2.50045	22504	-30577.5	6960.69	6420.4	7247.81	-786.042	-2144.44
248000	248	2.51419	22627.7	-30611.8	6682.18	6445.53	7076.53	-862.502	-2114.06
249000	249	2.49469	22452.2	-30875.3	6857.37	6266.78	7148.9	-784.983	-2084.38
250000	250	2.46871	22218.4	-30730.8	7063.28	6242.63	7089.67	-850.075	-2081.4
251000	251	2.47575	22281.7	-30647.6	6798.72	6492.07	6966.64	-776.682	-2186.74
252000	252	2.47187	22246.8	-30658.7	6687.14	6434.93	7019.85	-808.243	-2111.54
253000	253	2.47995	22319.6	-30745.6	6858.84	6552.69	6883.04	-836.521	-2091.24
254000	254	2.49915	22492.3	-30642.7	6858.95	6608.45	6893.5	-798.661	-2163.8
255000	255	2.48752	22387.7	-30709.2	7128.5	6501.76	7091.78	-790.21	-2164.58
256000	256	2.51147	22603.2	-30563	6860.59	6250.86	7090.37	-777.1	-2098.39
257000	257	2.47925	22313.3	-30629.8	6762.08	6359.6	7273.75	-820.364	-2249.99
258000	258	2.42337	21810.4	-30783.3	7007.46	6405.98	7151.92	-802.952	-2210.02
259000	259	2.48336	22350.2	-30810.9	6907.91	6356.85	7134.06	-813.106	-2167.67
260000	260	2.51397	22625.7	-30727.4	6936.76	6462.78	6976.93	-831.649	-2136.3
261000	261	2.50667	22560	-30799.2	6949.71	6327.02	7107.04	-793.218	-2150.87
262000	262	2.4927	22434.3	-30812.6	6807.76	6365.55	7056.49	-812.955	-2179.51
263000	263	2.50264	22523.8	-30763.3	6733.36	6289.25	7093.2	-821.305	-2184.8
264000	264	2.4458	22012.2	-30642.5	6801.83	6472.99	6997.63	-768.856	-2101.28
