step	time	T	T-cg	T-at	Ekin	res	angle_252	angle_253	angle_254	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285_cross	angle_286_cross	angle_287_cross	angle_288_cross	angle_289_cross	angle_290_cross	angle_291_cross	angle_292_cross	angle_293_cross	bond_124	bond_124_cross	bond_125	bond_126	bond_127	bond_128	bond_129	bond_130	bond_131_cross	bond_132_cross	bond_54	coulomb	dihedral_124	dihedral_160	dihedral_3	dihedral_37	dihedral_4	dihedral_4_cross	dihedral_65	dihedral_65_cross	dihedral_67	dihedral_8_cross	lj	lj-14_0	lj-14_0_cross	lj-14_2	lj-14_3	lj-14_8_cross	lj-14_9_cross	tab-cg
14500	14.5	2.4641	2.47614	2.46276	55442.2	0	779.702	742.766	365.926	565.372	515.649	517.96	367.495	555.561	483.089	538.827	470.116	760.378	736.837	383.029	540.484	492.801	504.028	419.438	628.849	553.846	517.861	528.041	665.954	609.565	399.14	583.671	507.203	466.085	410.61	603.272	506.895	519.467	507.126	0	0	0	0	0	0	0	0	0	1915.17	0	1881.28	2027.76	1959.88	4090.92	1371.59	690.732	3175.23	0	1984.28	0	395.039	1063.31	4357.51	1192.92	2913.45	0	1737.43	0	603.143	0	0	5693.19	0	-337.974	544.153	0	0	-23650.1
15000	15	2.47432	2.47614	2.47412	55672.3	0	767.144	767.383	364.217	577.631	470.571	465.046	372.894	581.147	477.612	481.652	504.326	798.876	696.04	408.717	604.393	416.237	460.524	404.547	638.268	532.893	515.703	530.322	670.565	651.079	455.225	558.928	455.259	467.097	433.618	663.315	502.625	463.644	489.807	0	0	0	0	0	0	0	0	0	2030	0	1980.52	1830.14	1841.77	4117.06	1408.32	704.6	3087.83	0	2039.92	0	455.524	1088.13	4364	1195.56	2867.61	0	1790.45	0	602.208	0	0	5869.72	0	-337.962	517.549	0	0	-23698.2
15500	15.5	2.47536	2.47614	2.47527	55695.6	0	841.681	814.901	380.907	597.944	507.517	520.543	350.45	648.539	508.234	439.297	523.94	773.972	690.001	445.152	579.349	523.662	489.441	405.858	612.19	524.144	487.712	501.227	726.745	574.005	363.184	579.122	466.557	509.554	379.361	619.177	559.129	511.402	478.926	0	0	0	0	0	0	0	0	0	1916.67	0	1908.81	1934.58	1734.54	4078.72	1430.95	705.771	3124.04	0	2054.25	0	168.936	1027.07	4357.56	1085.05	2865.06	0	1836.81	0	568.651	0	0	5718.93	0	-338.009	509.092	0	0	-23713.9
16000	16	2.45928	2.47614	2.4574	55333.7	0	744.028	822.459	381.72	570.023	541.712	438.523	416.63	669.081	461.328	565.83	489.888	766.317	758.085	393.786	567.977	437.192	489.045	388.34	648.831	482.983	513.75	498.142	646.743	660.112	427.942	636.143	503.522	513.004	408.202	544.31	492.21	549.839	478.527	0	0	0	0	0	0	0	0	0	1946.43	0	2017.61	2012.76	2011.6	3979.66	1528.15	707.602	3052.87	0	2220.64	0	344.357	1072.12	4361.51	1132.92	2914.86	0	1817.85	0	573.141	0	0	5917.7	0	-337.782	513.134	0	0	-23709.8
16500	16.5	2.47311	2.47614	2.47278	55645	0	800.763	865.186	398.833	563.921	467.125	490.856	381.291	667.257	449.162	519.048	509.549	727.969	648.019	418.13	568.318	482.361	476.344	399.835	648.363	513.788	500.43	486.659	697.537	619.98	407.117	531.878	536.157	467.163	419.305	611.85	481.726	483.131	494.617	0	0	0	0	0	0	0	0	0	1921.5	0	1929.76	1936.01	1797.84	4055.55	1291.86	639.085	3005.98	0	1976.38	0	323.26	1086.89	4351.78	1084.62	2914.85	0	1809.58	0	562.713	0	0	5650.66	0	-338.208	488.593	0	0	-23652.1
17000	17	2.49371	2.47614	2.49567	56108.5	0	716.426	739.409	400.816	613.884	495.871	491.439	409.587	620.937	539.734	515.005	531.708	768.202	712.158	427.895	554.441	506.23	525.981	401.976	636.207	513.535	499.011	505.952	676.193	676.477	420.068	556.871	460.969	415.045	397.095	608.973	504.936	518.6	520.717	0	0	0	0	0	0	0	0	0	2039.96	0	1927.99	1893.18	1811.69	3905.82	1399.12	664.187	3166.11	0	2062.61	0	158.128	1120.8	4360.3	1093.94	2944.83	0	1818.83	0	568.048	0	0	5734.33	0	-338.159	492.807	0	0	-23669.1
17500	17.5	2.47725	2.47614	2.47737	55738.1	0	765.977	751.3	377.712	522.691	474.751	517.133	386.308	645.338	473.794	447.233	499.308	769.902	697.355	354.667	614.482	476.185	508.041	386.625	619.512	485.379	516.113	425.351	660.447	644.668	403.938	553.163	543.791	490.662	427.62	676.337	529.964	505.234	519.863	0	0	0	0	0	0	0	0	0	2002.51	0	2012.04	1872.7	1771.01	4173.77	1382.03	737.652	2935.78	0	2015.64	0	202.754	1129.75	4347.07	1208.2	3012.27	0	1814.03	0	576.982	0	0	5845.96	0	-338.271	505.58	0	0	-23728
18000	18	2.49229	2.47614	2.49409	56076.6	0	878.828	697.024	404.351	564.558	496.449	524.225	371.975	647.597	525.186	507.028	548.783	748.567	751.189	448.356	617.37	523.752	451.065	437.807	622.785	499.27	517.342	536.902	755.353	625.099	415.83	571.199	479.562	481.07	432.719	643.146	500.312	496.801	481.682	0	0	0	0	0	0	0	0	0	1891.57	0	2044.22	1847.21	1884.47	4018.34	1387.22	712.421	3026.88	0	1980.25	0	275.597	1127.41	4344.49	1159.85	3076.77	0	1702.66	0	585.265	0	0	5816.93	0	-338.238	524.442	0	0	-23804.6
18500	18.5	2.49393	2.47614	2.49591	56113.4	0	793.433	735.096	453.034	662.877	527.964	452.678	412.951	584.929	459.736	524.932	500.473	761.762	701.584	419.697	511.082	489.166	480.706	433.475	571.414	488.864	528.183	463.348	668.63	673.909	456.375	575.089	495.71	442.587	427.663	575.229	549.642	526.648	479.523	0	0	0	0	0	0	0	0	0	1930.35	0	1861.25	1955.18	1843.32	4021.89	1542.22	711.678	3033.78	0	2050.78	0	252.5	1114.99	4331.01	1210.45	3051.54	0	1859.26	0	602.753	0	0	5788.48	0	-338.015	499.8	0	0	-23829.3
19000	19	2.47071	2.47614	2.4701	55590.9	0	755.418	768.275	421.704	577.733	517.162	487.093	419.666	625.974	545.429	587.014	515.197	803.958	692.903	432.185	534.213	473.31	505.446	397.273	613.412	489.339	549.007	517.136	769.637	630.746	392.494	540.582	511.35	582.139	412.099	619.831	518.72	470.037	525.08	0	0	0	0	0	0	0	0	0	1856.57	0	1987.72	1908.87	1805.79	4143.19	1403.17	710.348	2917.38	0	2039.6	0	208.504	1177.35	4383.58	1156.33	2842.22	0	1790.87	0	588.925	0	0	5636.13	0	-338.465	500.642	0	0	-23818.9
